,Yelp,Google
620,Habanero Tacos Grill,
621,Carbone's Pizzeria - Minneapolis,
622,Rojo Mexican Grill,
623,JJ's Clubhouse,
624,Mama Sheila's Soul Food Kitchen,
625,Bunker's Music Bar & Grill,
626,Williams Uptown Pub & Peanut Bar,
627,Blaze Fast-Fire'd Pizza,
628,Salut,
629,Cheese Louise,
630,Taste of India,
631,Natedogs,
632,Grand Catch,
633,Graze,
634,Nelson Cheese & Deli,
635,Asia Chow Mein,
636,Hideaway Burger Bar,
637,Caffè Biaggio,
638,Geek Love Cafe,
639,Embers America,
640,Orient Express,
641,Raku Sushi & Lounge,
642,Cathay Chow Mein,
643,The Cafe Meow,
644,Bep Eatery,
645,Pupuseria El Rincon Salvadoreno,
646,Kyoto Sushi,
647,Dragon Wok Delivery,
648,Pracna on Main,
649,JJ'S Poke,
650,The Purple Onion Cafe,
651,Flameburger,
652,Ichigo Tokyo Crepes,
653,Roman's Cafe,
654,Beaujo's Wine Bar and Bistro,
655,Potbelly Sandwich Shop,
656,Sarpino's Pizzeria,
657,Pizza Luce - Hopkins,
658,All Taco,
659,Moose Bar & Grill,
660,Tavern 23,
661,Hello Pizza,
662,Pizza Luce,
663,Five Guys,
664,Que Viet Village House Three,
665,Five Guys,
666,Filfillah Restaurant,
667,Zait & Za'atar,
668,Bay Leaf Indian Cuisine,
669,Valerie's Taqueria,
670,The Anchor Fish & Chips Food Truck,
671,The Living Room,
672,One Two Three Sushi,
673,W XYZ Bar,
674,Wedge Table,
675,El Mariachi,
676,Riverview Cafe,
677,Sawatdee,
678,Joan's In the Park,
679,Mai Thai Restaurant,
680,McCoy's Public House,
681,D.P. Dough Minneapolis,
682,Taqueria y birrieria las cuatro milpas,
683,Haiku Japanese Bistro,
684,The Corner Bar,
685,Seven Steakhouse Sushi & Rooftop,
686,Banh Appetit,
687,Dagwood's,
688,Penny's Coffee,
689,Hot Indian Foods Truck,
690,The Bad Waitress,
691,Chipotle Mexican Grill,
692,Uptown Tavern & Rooftop,
693,The Office Pub & Grill,
694,Everest on Grand,
695,El Primo,
696,Lisu's Thai Taste - Roseville,
697,Hamdi Restaurant,
698,Amos & Amos BBQ,
699,The Uptowner Café on Grand,
700,Davanni's Pizza & Hot Hoagies,
701,Cocina del Barrio,
702,Great Wall Chinese Restaurant,
703,The Finnish Bistro Cafe & Coffee,
704,The Pourhouse,
705,Naf Naf Grill,
706,Little G's Mobile Pizzeria,
707,Atlas Grill,
708,Broadway Pizza,
709,Red's Savoy Pizza,
710,Lucky Cricket,
711,Vina Vietnamese,
712,Seward Community Co-op,
713,The Loop - St Louis Park,
714,The Salad Bar,
715,Hibachi Daruma,
716,Andrea Pizza,
717,Big Louie's Bar & Grill,
718,Hop21,
719,Pineda Tacos Plus,
720,Darby's,
721,Grass Roots Gourmet,
722,Cheese Louise,
723,Nakamori Japanese Bistro,
724,JK's Table,
725,Porter Cafe,
726,Tavola Italian Kitchen & Bar,
727,Good Earth,
728,Kwan's Chinese Cuisine,
729,Taqueria El Ranchito,
730,A&J Fish & Chicken,
731,Pham's Rice Bowl,
732,Adam's Gyros,
733,China Kitchen,
734,Jimmy's Pro Billiards,
735,Crystal Café & Grill,
736,Mim's Cafe,
737,Patrick's Bakery & Cafe,
738,Bread & Pickle,
739,Patrick's Bakery & Cafe - Edina,
740,Cargo Food Authority,
741,Knight Cap Bar & Lounge,
742,China Express,
743,Turtle Bread Company,
744,China Wok,
745,Jackson's Hole,
746,Lucky Dragon,
747,Good To Go,
748,Pizza Biga,
749,Emily's F and M Cafe,
750,Simpls,
751,Igrill,
752,Cali's Vietnamese,
753,Nacho's Mexican Grill,
754,Sally's Saloon,
755,Magic Noodle,
756,New Hope Bowl & Lounge,
757,Chianti Grill Roseville,
758,Conga Latin Bistro,
759,Bryn Mawr Pizza & Deli,
760,Ichiddo Ramen Dinkytown,
761,My Burger,
762,Caravelle Restaurant,
763,Pannekoeken Huis,
764,C McGee's Deli,
765,Mimosa,
766,Panera Bread,
767,Fast Eddies Pizza,
768,Lakes Buffet,
769,The Block,
770,Prairie Kitchen & Bar,
771,Foxy Falafel,
772,Sphere,
773,Soul Bowl,
774,Can Can Wonderland,
775,My Burger,
776,TJ's Of Edina,
777,Popeyes Louisiana Kitchen,
778,Pizza Luce,
779,Pho 79,
780,Tim and Tom's Speedy Market,
781,Chinese Express,
782,Crystal Garden,
783,Daily Cairo Grill,
784,La Tapatia,
785,Wyn 65,
786,Teresa's Mexican Restaurant,
787,Sandy's Tavern,
788,India Palace,
789,Tacos El Paraiso,
790,Keys Café & Bakery,
791,Gatherings Cafe,
792,Bunny's Bar & Grill NE,
793,Sal's on Fifth,
794,Peoples Organic Cafe,
795,Eureka Compass Vegan Food,
796,DeLeo Bros. Pizza,
797,The Bulldog Downtown,
798,Crepes Up Delicious,
799,Ono Hawaiian Plates,
800,Don Raul,
801,Pub 819,
802,Bruegger's Bagels,
803,Cadao Express,
804,Samba Taste of Brazil,
805,Cocina Del Barrio,
806,Ping's Szechuan Bar & Grill,
807,Tavern on France,
808,Jasmine Thai,
809,Pittsburgh Blue,
810,Bar Brava,
811,Teque Arepa,
812,1st Wok,
813,Turf Club,
814,Star Dragon,
815,The Village Pub,
816,Breakfast Bar,
817,Sarpino's Pizzeria,
818,Sakana Sushi & Asian Bistro,
819,Lake Wine Kitchen + Bar,
820,Stadium Bar And Grill,
821,Bushel & Peck Cafe,
822,U Garden Restaurant and Event Center,
823,Broadway Pizza,
824,Devil's Advocate,
825,Hiep Thanh Bbq & Deli,
826,Barley John's Brew Pub,
827,Great Dragon,
828,Joy's Pattaya Thai Restaurant,
829,New Bohemia - Golden Valley,
830,Green + The Grain,
831,Gion Restaurant,
832,Taco Teresa's,
833,Freshii,
834,China Moon,
835,Kabomelette,
836,Gordita el Gordo,
837,Bolé Ethiopian Cuisine,
838,Brava on Wheels,
839,Frenchman's,
840,Best Steak House,
841,Crossroads Delicatessen,
842,Raku Japanese Restaurant,
843,Betty Danger's Country Club,
844,Huie's Chow Mein,
845,Truce,
846,Loring Bar & Restaurant,
847,Bark and the Bite,
848,Volante,
849,Erbert and Gerbert's Sandwich Shop,
850,Vero,
851,Blarney Pub & Grill,
852,Original Pancake House,
853,"Inspirations Cafe, HCMC",
854,Fat Nat's Eggs,
855,La Michoacana,
856,Pinstripes,
857,Wrecktangle Pizza,
858,Park Tavern,
859,Khyber Pass Cafe,
860,Roti Modern Mediterranean,
861,Chinatown Carryout,
862,Jason's Deli,
863,Café Finspang,
864,Umbra,
865,Market Bar-B-Que,
866,Bus Stop Burgers and Brewhouse,
867,Super Moon Buffet,
868,Agra Culture,
869,Jewel of India,
870,Peking Garden,
871,Mirror of Korea,
872,Campiello - Eden Prairie,
873,Good Earth,
874,SotaRol,
875,Munkabeans,
876,Davanni's Pizza & Hot Hoagies,
877,Noodles & Company,
878,Thr3 Jack,
879,Mama's Bakery Pizza & Salad Bar,
880,SotaRol,
881,CRISP & GREEN,
882,Mango Bar & Grill,
883,Stone Arch,
884,Miller's Corner Bar and Grill,
885,Pattaya Thai,
886,Rebecca's Bakery,
887,Pad Thai Grand Cafe,
888,Sosa Foods,
889,Minnesota BBQ,
890,Original Mediterranean Grill,
891,Noodles & Company,
892,The Fremont,
893,The Hilltop,
894,Nonna Rosa's,
895,Bar Zia,
896,Kyoto Sushi,
897,Nespresso Boutique,
898,Dubliner Pub,
899,Eddie Cheng Restaurant,
900,Hoagies Family Restaurant,
901,Dulono's Pizza & Bar,
902,Burning Brothers Brewing,
903,Green + The Grain,
904,Sole Café,
905,The Cheesecake Factory,
906,The Basement Bar,
907,Falafel King,
908,Akwaaba Restaurant,
909,Luci Ancora,
910,White Castle,
911,Granite City Food & Brewery,
912,Milwaukee Road,
913,Capriotti's,
914,Bar Brigade,
915,Yum! Kitchen and Bakery,
916,So Good Asian,
917,Krona Bar & Grill,
918,Davanni's Pizza & Hot Hoagies,
919,Five Guys,
920,Chipotle Mexican Grill,
921,Hot Indian,
922,White Castle,
923,Music Box Karaoke and Sushi Lounge,
924,North Loop Galley,
925,Hook Fish & Chicken,
926,Big Bowl,
927,Sweet Cajun Boiling Seafood,
928,Szechuan,
929,Baldamar,
930,Ocean Buffet,
931,Edina Eatery,
932,Lakewinds Food Co-op,
933,Sarpino's Pizzeria,
934,Big Marina Grill & Deli,
935,Gogi Bros House,
936,The Egg & I,
937,QDOBA Mexican Eats,
938,Cam Ranh Bay,
939,Lien Son Restaurant,
940,Q Cumbers,
941,New Bohemia - Roseville,
942,Serendripity Spot,
943,Los Primos Mexican Food,
944,El Burrito Minneapolis,
945,Big Bowl,
946,The Grateful Table,
947,Golden Fingers,
948,St. Louis Park American Legion Post 282,
949,Which Wich,
950,Campus Club,
951,New Fresh Wok,
952,Colossal Cafe,
953,D. Brian's Kitchen & Catering,
954,Pizza Luce - Roseville,
955,Tea House,
956,Parkway Pizza,
957,Quruxlow,
958,Fabulous Catering,
959,Bruegger's Bagels,
960,Cuco's Mexican Restaurant,
961,Bruegger's Bagels,
962,Jacques',
963,Wholesoul a Lavender & Sage Eatery,
964,Tillie's Farmhouse,
965,Crave Cafe & Deli,
966,Town Hall Station,
967,Augustine's Bar & Bakery,
968,GoldRoom Restaurant & Lounge,
969,Mort's Deli,
970,Chipotle Mexican Grill,
971,Exchange Food & Drink,
972,Galaxy Food & Video,
973,The Herbivorous Butcher Food Truck,
974,Highland Cafe & Bakery,
975,Gastrotruck,
976,Pair of Dice Pizza,
977,The Joint,
978,French Meadow Bakery & Cafe,
979,The Simple Sandwich,
980,Widmer's Super Market,
981,Delicious Chow Mein,
982,Indochin Vietnamese Restaurant,
983,Tibet Corner,
984,Tortilleria La Perla Tortillas & Pozole,
985,El Chilo Tacos,
986,Naf Naf Grill,
987,Ten 01 Social,
988,La Alborada Market,
989,Campus Cafe - Turkish Grill,
990,Houlihan's,
991,Brothers Bar & Grill,
992,Lindey's Prime Steak House,
993,Los Padres Mexican Food,
994,Carbone's Pizza,
995,New York Gyro,
996,Ariya Thai Restaurant,
997,"Nelson's Meats, Bakery, Deli & Catering",
998,Wings and Seafood To Go,
999,Chipotle Mexican Grill,
